,tag,fund_ratio_net_annual_expense,pb_ratio,ps_ratio,mmc,pc_ratio,pe_ratio,total_assets,yield,greatstone_rating,return_ytd,Year,inception_date_delta,portfolio_communication_allocation,portfolio_financial_services,portfolio_industrials_allocation,portfolio_tech_allocation,portfolio_materials_basic_allocation,portfolio_energy_allocation,portfolio_consumer_defence_allocation,portfolio_healthcare_allocation,portfolio_property_allocation,id,portfolio_utils_allocation,portfolio_cyclical_consumer_allocation,3yrs_treynor_ratio_fund,3_years_alpha_fund,3years_category_std,3yrs_sharpe_ratio_fund,3yrs_treynor_ratio_category,3_years_return_mean_annual_fund,fund_beta_3years,3years_fund_r_squared,3years_fund_std,category_beta_3years,fund_return_3years,3_years_alpha_category,3_years_return_mean_annual_category,3yrs_sharpe_ratio_category,3years_category_r_squared,3_years_return_category,category_r_squared_5years,5yrs_sharpe_ratio_fund,5_years_alpha_fund,5years_fund_r_squared,5years_fund_std,5yrs_sharpe_ratio_category,5_years_beta_fund,5yrs_treynor_ratio_fund,5_years_return_mean_annual_fund,5_years_return_mean_annual_category,5yrs_treynor_ratio_category,5_years_return_fund,5_years_alpha_category,5_years_beta_category,5years_category_std,5_years_return_category,10years_category_r_squared,10yrs_sharpe_ratio_fund,10_years_alpha_fund,10years_fund_r_squared,10years_fund_std,10yrs_sharpe_ratio_category,10_years_beta_fund,10yrs_treynor_ratio_fund,10_years_return_mean_annual_category,10yrs_treynor_ratio_category,10_years_return_fund,10_years_alpha_category,10_years_beta_category,10years_category_std,10_years_return_mean_annual_fund,10_years_return_category,investment_class_Growth,investment_class_Value,investment_class_unknown,fund_size_Medium,fund_size_Small,fund_size_unknown
tag,1.0,-0.03230300884829166,0.0037817369015894584,0.014380085297521352,0.0036577649396357373,0.00916460458554804,0.01532286932953988,0.03778743608903803,-0.005556342524168571,0.0010283307197423706,0.01258414631560763,-0.03395569503283949,-0.03352733559629264,0.013354587319813347,0.005245005751357913,0.021662925801902645,0.008796658141423615,-0.0012658919048055602,-0.012432387808018681,0.0013265599298579631,-0.01120972198661464,-0.004574816311119538,1.0,0.004049847605046369,0.026512614169350728,0.003155958923015677,-0.02142587645118683,0.00036166000301619166,0.02247247567279649,0.014084105179453124,0.017375245752471853,0.018831459669783588,0.04359442166310818,0.028150030473224112,-0.0034736315036279033,0.017022435052034206,-0.026802396164981264,0.011866389895340671,0.009336259487075017,0.036978641600862935,0.00879971187495316,0.033439513048521746,0.0191866082880366,-0.024874190914872932,0.01872914500979054,0.030837934457043335,0.04428752636286221,0.007074919594843737,0.0037540730261726375,0.017454090181793554,0.03107919889494511,0.01922357925826309,0.009145381094768685,-0.021049489653169263,-0.0024247405821332976,-0.0017312460419700575,0.025361615681680005,0.011985529474187151,0.006282877037984882,-0.018745394481844844,-0.012348244133430938,0.036407630727032854,-0.019894360436082666,-0.012210355152701101,0.006754059186203514,-0.0077548298269299815,-0.018691599614426797,0.017003320930118342,-0.026691005363822268,-0.005473992526399698,-0.009665982904225608,0.009459415506673839,0.008218241532122467,-0.0006054628761010401,-0.038798584750077546,0.01274716858751906,-0.015443058185148524,0.01065865159978092,0.01274716858751906
fund_ratio_net_annual_expense,-0.03230300884829166,1.0,0.033818632597439245,0.017840117049083004,-0.02579436142652106,0.009517827755506171,0.021553397462710264,-0.20592204652246862,-0.20901012511106862,-0.24266868246300086,0.050832301513837656,-0.033389728577330254,-0.033267990321023115,0.03607384503934569,0.0654744935386818,0.09236718694080767,0.0709796345580517,0.059099941678362244,0.06680637821278006,0.038610065379868025,0.037115037236014725,0.06079238692876369,-0.03230300884829166,0.014650000411005023,0.07537443451679464,-0.01144202869915294,-0.16837991358971585,0.17273141445607004,-0.1928965728466076,0.02638751811665078,-0.04266774055363555,-0.042865321612453766,-0.20223751397821654,0.23536525683431694,-0.007094595129581314,-0.04917428060780927,-0.049378857456409256,0.018331908816384676,-0.03366902084382731,-0.2047148573031583,0.014411790149641683,-0.17932029311643552,-0.35184110933234747,-0.20402855791560445,-0.15920810215490974,0.2567742466874089,-0.2487527288500957,-0.03538295206454146,-0.011276337931335877,-0.1333983669489466,-0.040384320251549116,-0.04867859053598063,-0.13976723102252372,-0.04860950121887828,-0.0676671378816919,0.18015295829823433,-0.0841382031930196,-0.10138542786609922,-0.3822371957983131,-0.1647931829379288,-0.0545227080582946,0.2942408054547892,-0.1633450981467595,-0.020782355258365918,0.0006747388554038573,0.05658602044022893,-0.0021632455460449053,-0.03907349154132001,0.003969142131537389,-0.01752146132217295,0.17055728060938152,-4.07314843149725e-05,0.005766025553281633,0.07266823458227688,-0.014930900610639737,0.03150499944497122,0.0084515997059918,0.02820523747515942,0.03150499944497122
pb_ratio,0.0037817369015894584,0.033818632597439245,1.0,0.02139515185322785,0.2725967374707837,0.00026915255012942166,0.05453673421589654,0.09312730358429944,-0.204139453741472,0.05227537946230523,0.29306935561386366,-0.010410810758996808,-0.010009298119243188,0.03952186447528196,0.09042526281851099,0.12674637767680833,0.33660295455099115,0.011787518887884391,0.09329557916804207,0.14737418769440988,0.2891256068970182,0.0062711108723059305,0.0037817369015894584,-0.0078336373970869,0.18917819427888824,0.02910068776410335,0.04237952704099242,0.23370506110834097,0.17430099015926923,0.13174456062730094,0.3030615276624462,0.10323588403188984,0.1154085863158895,0.21418239130354377,0.14302548952682412,0.2904070842695175,-0.002481514418408442,0.23470119854780158,0.18795536213564043,0.12470873591311028,0.3181742692135392,0.13865537353600466,0.09741399688335191,0.037699254882277974,0.11629989376339678,0.20409770935880236,0.07528753391395969,0.08841286582058723,0.03999783866878936,0.28330829183832595,0.24169829889654068,0.18693862997208813,0.2561984503950392,-0.007841350916064636,0.12890938633110133,0.2266561649701535,0.28408217188486823,0.15582145919112228,0.0456948430726171,-0.0027918429178764937,0.10890655547425689,0.17476100047699403,0.0446753032859605,0.02001797557763877,0.0018383291861999622,0.20831987941580338,-0.02700871792676717,0.1959719570676002,-0.07440687823555642,0.07459213572113094,0.20736742773769662,0.24020309273756646,0.2739364563039099,0.2481862162097755,-0.0885648322334356,-0.15574144896280315,-0.10504555517750772,-0.02936152777637705,-0.15574144896280315
ps_ratio,0.014380085297521352,0.017840117049083004,0.02139515185322785,1.0,0.007450605636313354,0.07003881984904513,0.006870288173792194,-0.005924599789192332,-0.020115831557406604,-0.0037141163023499805,0.015288030932953433,0.0009959642445760567,0.00139436136784005,-0.0030187595704853206,-0.0023151805149696234,-0.007057324117008299,0.007523288023318492,0.12943902438738242,0.0031540864641829308,-0.002605940401596775,0.003435591774520093,0.013548888920259473,0.014380085297521352,-0.004176856791060212,-0.0027656423027266792,-0.0003929226191279509,-0.003923043409574499,0.02172029228858034,-0.006292714495691562,-0.0013794061655750605,0.0040637121328326595,0.0019225589565805513,0.003556119906354333,0.018786804444730014,0.011884906154513828,0.004833513279496537,0.000672233117210626,0.002879427025575959,-0.00529693291600825,0.001757654185132636,0.00823800299668067,0.006237023991428467,-0.025597504525534682,0.013364943311965282,-0.006423545895944415,0.016067834103517267,-0.031757829808501635,-0.003943846046330901,-0.0029987447137592234,-0.005469974955350765,-0.013049815566529902,-0.026694086399481964,-0.0025528410014837013,0.004926289662842968,0.011547027699207008,0.023043877631367362,-0.022848829327258163,0.00896981974541996,-0.04585252924095267,-0.005255621644028302,-0.022158819054377932,0.011166958001717216,-0.045454382814270916,-0.004545045599780894,-0.0014863001337162135,-0.0013530647480990297,-0.006280578395187043,-0.001720022502558574,-0.0065015690718873,0.006193568559133255,0.024870364843907977,-0.012068867608840938,-0.009227337715582866,0.00929929443868798,-0.013212595476682566,-0.014250075433896293,-0.01060149384343895,0.026142333543021375,-0.014250075433896293
mmc,0.0036577649396357373,-0.02579436142652106,0.2725967374707837,0.007450605636313354,1.0,-0.013765707676680582,0.06233421105672222,0.15455707394476906,-0.24310178578813335,0.06993750260295745,0.3245523890305309,-0.04648958978205626,-0.046498972098387055,0.23552798867439706,0.2892381168369224,0.1008636167155663,0.509270232202136,-0.018811592369308225,0.010490661586349202,0.3477766085006051,0.3978348998353172,-0.07812363369941194,0.0036577649396357373,0.025838867552327272,0.23473180459300325,0.040534766986750924,0.05519271956523881,0.21332360420974045,0.34223768119139436,0.1895162567258764,0.4154887391721894,0.12129240676571716,0.31856039225893507,0.20089784514868728,0.2173045488391554,0.3927164291557428,0.023738272030067786,0.3492444463418864,0.36917754520247614,0.3023293651096653,0.4297166849482309,0.34683122313963344,0.2286490885492088,0.09067625220826407,0.3572279184868594,0.21821221017448228,0.19730628707537826,0.12495726426984727,0.06794563100526135,0.4423075418118133,0.3565634889158186,0.32079464423766757,0.39019651644156966,0.04182824580692643,0.17799272304514563,0.22090725083524926,0.4455512733545422,0.34172016892289253,0.08790387251111823,-0.052887575638720825,0.3557987254105843,0.22851539715670047,0.05493892640741052,0.026579376499323605,0.008814606825998886,0.34343360300054515,-0.04672523686565356,0.2632026857207457,-0.13835381357021875,0.10459032393808558,0.19662707355209244,0.36890711204840965,0.35236861752125914,0.1944469381921893,-0.0989943382850793,-0.1995788780811889,-0.3942618991252729,-0.31478561890157764,-0.1995788780811889
pc_ratio,0.00916460458554804,0.009517827755506171,0.00026915255012942166,0.07003881984904513,-0.013765707676680582,1.0,-0.0022230541689735976,-0.01330710550909225,0.03550750515329582,0.014595622647650287,-0.011921209886926892,0.004181717179955945,0.0042283233255467475,-0.011131816549779803,-0.020261896793089325,-0.014803361641972098,-0.01665951896172014,-0.009743226665816219,0.10574165642649866,-0.014952759093904037,-0.015000343092705997,-0.006746792641774015,0.00916460458554804,-0.008376383138657741,-0.017590227605350534,0.001603506039927257,0.03137370684131677,-0.007047755558931463,0.008385681254975616,0.013129146466381384,-0.008564760174345504,-0.008674499300110028,-0.040995280520941334,-0.006554170008266527,-0.010171931416009234,-0.00567043290649455,0.03133603137926913,-0.009785133205746118,0.003948804519765219,-0.04287148471709938,-0.013166366145842953,-0.04322717657976639,0.002132025950575048,0.022895435478548415,-0.04579313221842564,-0.004758997216206977,-0.011644625856578422,-0.011398875260177022,0.003755194747638703,0.00011476221477554104,-0.012423574440314394,0.013517029473520764,0.005074065175234339,0.013340701041194662,-0.008362249236712041,-0.0040830043594081294,-0.006785811360854339,-0.03913657870702558,0.015755212588724817,0.03204120953333526,-0.04278108004868638,-0.006024508148947081,-0.025077532251359086,-0.005289944240941543,0.0015719326230700904,0.0019483822172355436,-0.0034102438199387023,-0.010119076218295596,0.02183660602948338,-0.008029998818216427,-0.007083749109496659,0.0038964464635652166,-0.014160269313917019,-0.008381944762966857,0.0366030769336706,-0.00951863850883077,-0.014774289273017417,0.05872005503394993,-0.00951863850883077
pe_ratio,0.01532286932953988,0.021553397462710264,0.05453673421589654,0.006870288173792194,0.06233421105672222,-0.0022230541689735976,1.0,0.001860882277310114,-0.04321111140345003,0.01635432835748071,0.09999168876086317,0.005556032507722741,0.006284767915144378,0.013063065738109341,0.0300374658451241,0.03956853817554906,0.08537362594697152,0.01165039207209944,-0.009584865275412585,0.040283073837671296,0.0636962172645451,0.06401971232672121,0.01532286932953988,0.0005701682241929578,0.2921870550369954,0.0011801801659835475,0.024494762569793674,0.0805455099940554,0.1000906787840485,0.017447557004419235,0.09405644391541651,-0.0006749730962805447,-0.03686628027406936,0.069024727714328,0.0002003027133321102,0.09103458318106507,0.006071974060114932,0.07481752166843561,0.08615047401878163,-0.02647375291660034,0.09509555536348284,-0.01871803208386785,0.014797077754371949,0.02452834912712224,-0.03926687336948915,0.07026715306791394,0.01785468427335621,-0.010646834712102654,0.006009326120008759,0.07922697777729358,0.07485288836104992,0.04283402447258314,0.07114708137649686,0.007462913068816921,0.001065178631898819,0.07959856716407403,0.07794592064921535,-0.0037098800825802417,-0.007087334297701517,0.029829089434690093,-0.03471146010240852,0.08074651450800582,0.017071558696169595,-0.00906654038958316,0.07877226346724256,0.09042755574004589,0.05770886793721785,0.058987866698977424,0.020852690300245624,-0.0076402953854656525,0.08196770795558378,0.09189091227126996,0.09581509101250013,0.06636999468608669,-0.006705614042696403,-0.07445995428995354,0.023887029899084193,-0.03143572618063212,-0.07445995428995354
total_assets,0.03778743608903803,-0.20592204652246862,0.09312730358429944,-0.005924599789192332,0.15455707394476906,-0.01330710550909225,0.001860882277310114,1.0,0.013348126858248781,0.33230679282022546,0.07331935252346058,-0.18140242183378905,-0.18312422806859383,-0.0014327225146563835,0.02427917149657334,0.008177903754272044,0.06554037949362988,-0.030327547808474117,0.006386533269173589,0.011470184698713722,0.08816385752296374,-0.05238525320742217,0.03778743608903803,0.016111147405072298,0.015698018431534563,0.01920887997904465,0.15068225889445677,-0.0025581661609420676,0.18718254459652472,0.03621488674078289,0.1382836657486985,0.0200804917399268,0.09986375232475099,-0.05225676064082858,0.003992207169037032,0.1981444913508331,0.04253152719915525,0.0754380568846356,0.06038303121707707,0.07227173767728463,0.09472463371139919,0.06514175053695964,0.22915298255306768,0.16065608377167295,0.09232993336835113,-0.0555834329718061,0.12622765918528384,0.02354695408886306,0.019672985848873035,0.18534372883917694,0.05006773964240178,0.05477186542413658,0.2832709097289183,0.019042786397689714,0.027872879476285334,-0.007154791784954143,0.10756880323435028,0.05879044811572573,0.2460871820371325,0.172929268270262,0.044715999940350956,-0.048320724418606284,0.11759862477221841,0.011639062976349616,-0.006305948987302154,0.041712313306991156,0.04552138260417206,0.31671479785729506,0.015122629696384577,0.0045148873975642745,0.0013289054795616797,0.14523170766067983,0.09212293952335222,0.11975227007136692,0.02764863683389386,-0.07347238167614789,-0.004229116858863054,-0.03612801244671941,-0.07347238167614789
yield,-0.005556342524168571,-0.20901012511106862,-0.204139453741472,-0.020115831557406604,-0.24310178578813335,0.03550750515329582,-0.04321111140345003,0.013348126858248781,1.0,0.08269804642949587,-0.35085774447713136,0.07872212742043416,0.07803174642227316,-0.001628690468658838,-0.2207065681340343,-0.19780291289298205,-0.45132215693555294,-0.043177162088814676,0.17682659382981195,-0.18208734337505897,-0.3282158330663122,0.04616773989624294,-0.005556342524168571,0.04695571906806952,-0.25584967171297107,-0.007993553547944239,0.23996498119028845,-0.43083503452096816,0.053624140298841015,-0.08690773063281615,-0.3297415782128763,-0.16710181799606294,-0.2689151685780811,-0.42759163697594677,-0.2464468485464035,-0.29338685633529327,0.25304186199060824,-0.2991004124485137,-0.13883870034113593,-0.2598655070775503,-0.3877332283510709,-0.26912849962323493,0.03905853726673204,0.16932008775768026,-0.2704369571967983,-0.4184289937301614,0.08511504703427565,-0.13700156584033235,-0.04428265292670219,-0.35539312612435286,-0.3881691053172289,-0.2160826320544178,-0.27774231072363825,0.16150217772284503,-0.20509545350537592,-0.4030113695097518,-0.36208635516145393,-0.3239165721261271,0.23384805580006296,0.33964017136424424,-0.3468814346239924,-0.49191576656332253,-0.006097553587612952,-0.0070555229211120805,-0.01095925599073103,-0.16437475516947297,0.13407733491115398,-0.25886955487588803,0.37254007245062143,-0.12401087196851192,-0.3804030502793694,-0.3873683681432189,-0.3315212617482483,-0.3246643505205748,0.22415661062398792,0.13879154045912212,0.028627588073946688,0.12754791734670667,0.13879154045912212
greatstone_rating,0.0010283307197423706,-0.24266868246300086,0.05227537946230523,-0.0037141163023499805,0.06993750260295745,0.014595622647650287,0.01635432835748071,0.33230679282022546,0.08269804642949587,1.0,0.11222373797108343,-0.1437291530469743,-0.14354041138026796,-0.010975691762302727,0.01274315733224421,-0.004558874860805177,0.07062970723017736,-0.001662528257335844,-0.0006752184538327792,-0.013359806834467297,0.025396658117678512,0.0027007618305808006,0.0010283307197423706,0.0030169273367315645,0.033622815796766216,0.042461121085685255,0.42278096185253927,0.0011628486888359286,0.4489653413318019,-0.0008020313237920607,0.29722266205741854,0.06183336167654297,0.03799458747297552,-0.07966252996850347,0.025245058684285743,0.43345506404340833,0.016135431638065835,0.04020331621292486,0.004388478239250893,0.03856163970241791,0.04936898330723402,0.03446838631987885,0.49982772690608746,0.4023199172945357,0.03377513520153633,-0.08280088584486463,0.0663322249376311,0.058705858638313665,0.04018009321412382,0.3519162096418922,0.008928491066588483,-0.00035716521709241593,0.4109942121283929,-0.0004433293235841023,0.0510968024691083,-0.0017797250522688568,0.04328830432173999,0.05217949796438324,0.4569452094246905,0.3411496097305805,0.008753613246296288,-0.07597030766949725,0.12433339028958788,0.02828104884685382,2.3206449982814395e-05,0.039552462085428064,0.017989297005528954,0.2948492408943045,0.0070932647710453735,0.006862701460100473,0.011678563976462159,0.26220576829034886,0.06319223657085345,0.097998093762412,-0.011181162575215155,-0.08568586058123268,0.03964106241600771,0.028208325131037937,-0.08568586058123268
